"quadrinho","video"
"A menina do outro lado","A hist?ria de AMOR (e maldi??o) entre um DEM?NIO e uma MENINA ABANDONADA?"
"Como Pedra","A solu??o ABSURDA para cuidar de pessoas com defici?ncia!!!"
"Jeremias, o Bom","NINGU?M ? BONZINHO! O moralismo barato e a neurose da bondade de Jeremias"
"Sakura Card Captor","Sakura Cardcaptor N?O ? sobre magia (e tem um lado sombrio)"
"Surfista Prateado - Par?bola","O evangelho da MARVEL segundo o Surfista Prateado"
